name,x,y
565,2320757.3,378564.1
566,2320754.2,378536.1
567,2319356.0,378452.7
568,2319797.6,378281.5
569,2318854.6,378648.2
570,2318695.6,378445.2
571,2319213.3,379628.8
572,2319377.9,379613.1
573,2319219.4,379485.3
574,2320024.7,380863.7
575,2319992.1,380824.6
576,2319946.1,380809.0
577,2319964.0,380823.1
578,2320333.7,379802.1
579,2320599.1,379840.3
580,2320668.6,379808.0
581,2320628.5,379601.1
582,2320481.3,379551.6
583,2320451.2,379409.5
584,2321228.9,379925.4
585,2321314.3,380041.3
586,2321016.2,379973.6
587,2321469.2,379924.1
588,2321423.3,379800.1
589,2320697.1,382625.9
590,2320695.2,382534.6
591,2320708.4,382569.9
592,2320567.5,382585.5
593,2320647.2,382446.4
594,2319164.4,379836.0
595,2319126.6,379785.1
596,2319211.9,379945.9
597,2319005.7,379733.0
598,2320661.0,380255.1
599,2320879.0,380471.7
600,2320936.4,380477.5
601,2321289.2,380195.4
602,2321209.9,382477.1
603,2322008.3,382816.4
604,2322304.3,382698.8
605,2322407.3,382620.7
606,2322308.1,382220.3
607,2321575.3,382885.0
608,2320654.0,378293.1
609,2320769.0,378314.4
610,2321020.4,378403.9
611,2321200.1,378494.2
612,2320509.3,381388.8
613,2320462.2,381232.3
614,2320505.3,381140.8
615,2320541.9,381037.8
616,2320627.3,381110.5
617,2320704.4,380934.8
618,2320289.1,381983.2
619,2320396.7,381912.4
620,2320313.5,381859.7
621,2320237.8,381802.9
622,2320228.0,381674.9
623,2320186.2,381592.5
624,2320762.2,381503.6
625,2320986.4,379405.7
626,2320908.7,379205.8
627,2320810.4,379077.3
628,2320434.0,378779.9
629,2320486.1,378883.5
630,2324194.9,384505.6
631,2324224.0,384666.1
632,2324320.4,384609.0
